upm;nvivi;nhoga;dpto;area;año;e01aimde;e01bimde;e01cimde;e01dde;e01ede;e01fde;e02tde;e01hide;e01ide;e01jde;e01kjde;e01hde;e01kde;e01lde;v19ede;ingrevasode;ingrealmuerzode;v21gde;totpers;ingrem;ipcm;linpobto;linpobex;pobrezai;pobnopoi;fex.2022;facpob;p0pobtot;p1pobtot;p2pobtot;p0pobext;p1pobext;p2pobext;ipcmdefg;quintili;decili;quintiai;decilai
161;24;1;0;1;2023;14454793,4528449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;14454793,4528449;2409132,24214082;853778;359480;3;0;104,903251987;629,419511922;0; ;0;0; ;0;2409132,24214082;4;8;4;8
161;32;1;0;1;2023;12660405,3000779;0;0;0;0;0;0;0;0;0;0;0;0;0;6978176,14964926;0;0;2996557,9671275;4;19388868,2857999;4847217,07144998;853778;359480;3;0;109,490741482;437,962965928;0; ;0;0; ;0;4847217,07144998;5;10;5;10
161;37;1;0;1;2023;2312766,95245518;0;0;3987529,22837101;0;0;1495323,46063913;6978176,14964926;0;0;0;0;0;0;0;0;0;0;3;14773795,7911146;4924598,59703819;853778;359480;3;0;106,813760547;320,441281641;0; ;0;0; ;0;4924598,59703819;5;10;5;10
161;44;1;0;1;2023;2492205,76773188;0;0;0;0;0;0;0;0;0;0;0;0;0;1495323,46063913;0;0;0;2;3987529,228371;1993764,6141855;853778;359480;3;0;101,591876882;203,183753764;0; ;0;0; ;0;1993764,6141855;4;7;4;7
161;47;1;0;1;2023;15039543,1123609;0;0;0;0;0;0;0;0;0;0;0;0;0;4984411,53546376;0;0;0;5;20023954,6478247;4004790,92956494;853778;359480;3;0;95,017489702;475,08744851;0; ;0;0; ;0;4004790,92956494;5;10;5;9
161;57;1;0;1;2023;5682229,15042868;299064,692127825;0;0;0;199376,46141855;0;0;0;0;0;0;0;0;0;0;0;0;3;6180670,30397506;2060223,43465835;853778;359480;3;0;114,14713211;342,44139633;0; ;0;0; ;0;2060223,43465835;4;8;4;7
177;3;1;0;1;2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1160851,26286641;0;0;0;1;1160851,26286641;1160851,26286641;853778;359480;3;0;68,207962039;68,207962039;0; ;0;0; ;0;1160851,26286641;3;5;2;4
177;13;1;0;1;2023;0;0;0;0;0;0;0;10000000;0;0;0;0;0;0;1500000;0;0;4000000;1;11166666,6666667;11166666,6666667;853778;359480;3;0;70,845186976;70,845186976;0; ;0;0; ;0;11166666,6666667;5;10;5;10
177;24;1;0;1;2023;7000000;0;0;0;0;0;2500000;0;0;0;0;0;0;0;0;120016;507226;0;5;10127242;2025448,4;853778;359480;3;0;84,871641105;424,358205525;0; ;0;0; ;0;2025448,4;4;7;4;7
177;27;1;0;1;2023;12500000;0;0;0;0;0;0;0;0;0;0;0;0;0;1000000;0;0;0;3;13500000;4500000;853778;359480;3;0;71,6628239;214,9884717;0; ;0;0; ;0;4500000;5;10;5;10
